Package	Deadline	Maintainer	Packages	Dependencies	Snapshot
RcppAlgos	2025-02-11	Joseph Wood	ccpsyc, epinetr, IDSL.UFAx, janus, mvSUSY, Rtropical, STraTUS, surveyvoi, TML	9	2025-01-28 23:17:24.388684
lintr	2025-02-11	Michael Chirico	adaptalint, autoharp, box.linters, dupree, goodpractice, languageserver, PaRe, rhino	8	2025-01-28 23:17:24.388684
ClassComparison	2025-02-11	Kevin R. Coombes	Modeler, RPointCloud, CrossValidate	3	2025-01-28 23:17:24.388684
spectralGraphTopology	2025-02-11	Ze Vinicius	finbipartite, fingraph	2	2025-01-28 23:17:24.388684
FPDclustering	2025-02-11	Cristina Tortora		0	2025-01-28 23:17:24.388684
glottospace	2025-02-11	Sietze Norder		0	2025-01-28 23:17:24.388684
prqlr	2025-02-11	Tatsuya Shima		0	2025-01-28 23:17:24.388684
zonebuilder	2025-02-11	Robin Lovelace		0	2025-01-28 23:17:24.388684
teal	2025-02-18	Dawid Kaledkowski	teal.modules.clinical, teal.modules.general	2	2025-01-28 23:17:24.388684
MazamaSpatialPlots	2025-02-18	Jonathan Callahan		0	2025-01-28 23:17:24.388684
teal.modules.clinical	2025-02-18	Joe Zhu		0	2025-01-28 23:17:24.388684
teal.modules.general	2025-02-18	Dawid Kaledkowski		0	2025-01-28 23:17:24.388684
