Package	Deadline	Maintainer	Packages	Dependencies	Snapshot
qVarSel	2024-12-14	Stefano Benati		0	2024-12-18 09:20:14.674172
ParamHelpers	2024-12-18	Jakob Richter	aslib, CEGO, cmaesr, ecr, EFAfactors, glmnetr, mlr, mlrCPO, mlrMBO, roseRF, smoof, tramnet, tuneRanger, varycoef, mcMST, flacco, ipfr, latentFactoR, live, llama, nsga3, OOBCurve, RBPcurve, RobustPrediction, seqimpute	25	2024-12-18 09:20:14.674172
rdracor	2024-12-19	Ivan Pozdniakov		0	2024-12-18 09:20:14.674172
HMDHFDplus	2024-12-20	Tim Riffe	demography, VirtualPop, vital, popstudy, RcmdrPlugin.RiskDemo, SEERaBomb	6	2024-12-18 09:20:14.674172
inspectdf	2024-12-20	Alastair Rushworth	bulkreadr	1	2024-12-18 09:20:14.674172
quickPWCR	2024-12-20	Xiaohao Yang	streetscape	1	2024-12-18 09:20:14.674172
tidymv	2024-12-20	Stefano Coretta	rticulate	1	2024-12-18 09:20:14.674172
codebook	2024-12-20	Ruben Arslan		0	2024-12-18 09:20:14.674172
CoFRA	2024-12-20	Rune Matthiesen		0	2024-12-18 09:20:14.674172
covid19brazil	2024-12-20	Alexandre Loures		0	2024-12-18 09:20:14.674172
DNH4	2024-12-20	Chanyub Park		0	2024-12-18 09:20:14.674172
dsmSearch	2024-12-20	Xiaohao Yang		0	2024-12-18 09:20:14.674172
htmldf	2024-12-20	Alastair Rushworth		0	2024-12-18 09:20:14.674172
KaradaColor	2024-12-20	Masaki Fujishima		0	2024-12-18 09:20:14.674172
paleopop	2024-12-20	July Pilowsky		0	2024-12-18 09:20:14.674172
robotoolbox	2024-12-20	Ahmadou Dicko		0	2024-12-18 09:20:14.674172
streetscape	2024-12-20	Xiaohao Yang		0	2024-12-18 09:20:14.674172
viewscape	2024-12-20	Xiaohao Yang		0	2024-12-18 09:20:14.674172
zerotradeflow	2024-12-20	Alexandre Loures		0	2024-12-18 09:20:14.674172
pkgdown	2024-12-24	Hadley Wickham	CALANGO, devtools, washr, activPAL, AHM, aMNLFA, AmpGram, anyLib, asremlPlus, BEACH, biospear, bisectr, BrailleR, CancerGram, changer, checkhelper, CompMix, coronavirus, covid19brazil, covid19italy, covid19sf, covid19swiss, crt2power, D2MCS, dartRverse, dataCompare, datr, easypackages, Elja, EpiSemble, EvoPhylo, fairness, FastUtils, fgitR, func2vis, fusen, GB5mcPred, githubinstall, gscaLCA, GSSTDA, HanStat, hlaR, LDNN, link2GI, macroBiome, margaret, MazamaCoreUtils, mcbette, MF.beta4, miscset, modelDown, netmhc2pan, newsanchor, nmadb, NoviceDeveloperResources, OhdsiShinyAppBuilder, OpEnHiMR, ordinalbayes, OVtool, penppml, personalr, PFIM, pkgverse, populationPDXdesign, psdr, pureseqtmr, qcapower, RadEro, rcompendium, rdomains, rdoxygen, riskmetric, RivRetrieve, roxygen2md, SCEM, SherlockHolmes, spRingsteen, srcpkgs, testthis, thinkr, understandBPMN, valuemap, dsld, uavRmp, AirMonitor, MazamaLocationUtils, MazamaSpatialPlots, MazamaSpatialUtils, MazamaTimeSeries, NoviceDeveloperResources2	90	2024-12-18 09:20:14.674172
R6P	2024-12-24	Harel Lustiger	BKTR, PTXQC, rmzqc, RKorAPClient	4	2024-12-18 09:20:14.674172
picasso	2024-12-25	Jason Ge	sparsevar, MissCP, VARDetect	3	2024-12-18 09:20:14.674172
janitor	2025-01-10	Sam Firke	AdverseEvents, autostats, bambooHR, baseballr, bayesrules, BFS, bluebike, bndesr, BrazilCrime, cepumd, cleanepi, clockify, ConsRankClass, covid19india, cricketdata, crypto2, dacc, dail, dams, datazoom.amazonia, DCPO, diffdfs, drpop, eatRep, ech, epe4md, epiCleanr, epitweetr, etl, excluder, extractox, f1dataR, fabR, fastrep, fastRhockey, filebin, fitbitr, fitzRoy, FlickrAPI, flightsbr, framecleaner, getLattes, govinfoR, healthyR.data, hlaR, HLMdiag, HMDHFDplus, hoopR, hudr, IMD, influential, irtQ, ispdata, itraxR, khisr, lacrmr, madshapR, MAGMA.R, metricminer, mnis, modeltime, moderndive, nfl4th, nflfastR, octopus, oddsapiR, opinAr, otargen, otpr, presenter, protti, qualitycontrol, quid, redatam, REDCapDM, repoRter.nih, reservoirnet, rfars, rmdl, rSRD, SangerTools, scCustomize, speechbr, spotifyr, tabbycat, TangledFeatures, theftdlc, ThermalSampleR, threesixtygiving, tidybins, tidyDenovix, tidyREDCap, tntpr, unmconf, validata, vvauditor, wehoop, worldfootballR, zoomr, TidyConsultant, seasonalityPlot, macleish, banffIT, mlstrOpalr, Rmonize, healthyverse, emdi, lmeresampler, povmap, saeTrafo, demography, VirtualPop, vital, cancerscreening, finnts, healthyR.ai, healthyR.ts, modeltime.ensemble, modeltime.resample, nflverse, NFLSimulatoR, play, popstudy, RcmdrPlugin.RiskDemo, SEERaBomb, fastFMM, varTestnlme, mlmpower	128	2024-12-18 09:20:14.674172
