Package	Deadline	Maintainer	Packages	Dependencies	Snapshot
diffEnrich	2025-03-10	Harry Smith		0	2025-03-12 12:39:25.514529
flocker	2025-03-11	Jacob B. Socolar		0	2025-03-12 12:39:25.514529
BRugs	2025-03-12	Uwe Ligges		0	2025-03-12 12:39:25.514529
MicroSEC	2025-03-13	Masachika Ikegami		0	2025-03-12 12:39:25.514529
Rfast	2025-03-14	Manos Papadakis	adass, autoMFA, bivpois, bltm, cauchypca, CCd, CICA, clusterMI, cols, Compositional, CompositionalML, CompositionalRF, consrq, corrfuns, CPC, cpmr, cpss, CptNonPar, Cronbach, datanugget, dcortools, dcorVS, dCovTS, deepMOU, DER, Directional, DrDimont, dyads, epilogi, fastFMM, fitlandr, frscore, fsn, funcharts, glmtoolbox, gMOIP, gomp, gp, GPCERF, handwriter, highd2means, imbalanceDatRel, IMIFA, irtQ, jenga, kDGLM, lmap, manydist, mbr, metaGE, metaplus, MetSizeR, mfpp, micd, mixgb, mixpoissonreg, MLE, mlmts, MN, mrfse, mvcauchy, mvcor, mvhtests, naive, nda, nebula, nestedcv, NetFACS, NetSci, NGBVS, nlgm, NNS, obfuscatoR, OPI, pchc, pdcor, phylotypr, phylter, PNAR, ppsbm, PRSPGx, QUALYPSO, RAINBOWR, randomLCA, RankAggSIgFUR, rcccd, RDM, regda, Rfast2, robqda, Rogue, Rtropical, rvMF, scoredec, segen, SelectBoost, sensobol, shinyExprPortal, simDAG, skedastic, smartsnp, SmoothWin, SMOTEWB, spaceNet, sparseCov, speaq, Spectrum, SteppedPower, success, tame, tetragon, TML, truh, TSCI, twl, univariateML, volcano3D, VoxR, WRI, wTO, QFASA, PPbigdata, WCluster, HDiR, pgKDEsphere, pcds, modgo, handwriterApp, handwriterRF, practicalSigni, RandomWalker, choosepc, crwbmetareg, geppe, TreeSearch, Patterns, metabodecon, MMOC, ale, autogam, EBcoBART, kdensity, piecenorms, svines, FORTLS, tscopula, nnspat, pcds.ugraph, healthyverse	149	2025-03-12 12:39:25.514529
odbc	2025-03-14	Hadley Wickham	datrProfile, epidm, MCOE, pgTools, SangerTools, shiny.telemetry, sqlHelpers, virtuoso	8	2025-03-12 12:39:25.514529
scDHA	2025-03-14	Ha Nguyen	scCAN, ScRNAIMM	2	2025-03-12 12:39:25.514529
T2DFitTailor	2025-03-14	Cheng Liu		0	2025-03-12 12:39:25.514529
easycsv	2025-03-16	Dror Bogin	gimmeTools, SemNetCleaner, SemNetDictionaries, uniset, scicomptools	5	2025-03-12 12:39:25.514529
ncdf4.helpers	2025-03-16	Lee Zeman	eurocordexr	1	2025-03-12 12:39:25.514529
