Package	Deadline	Maintainer	Packages	Dependencies	Snapshot
qVarSel	2024-12-14	Stefano Benati		0	2024-12-18 02:56:52.72453
ParamHelpers	2024-12-18	Jakob Richter	aslib, CEGO, cmaesr, ecr, EFAfactors, glmnetr, mlr, mlrCPO, mlrMBO, roseRF, smoof, tramnet, tuneRanger, varycoef, mcMST, flacco, ipfr, latentFactoR, live, llama, nsga3, OOBCurve, RBPcurve, RobustPrediction, seqimpute	25	2024-12-18 02:56:52.72453
ivdesc	2024-12-18	Moritz Marbach		0	2024-12-18 02:56:52.72453
rdracor	2024-12-19	Ivan Pozdniakov		0	2024-12-18 02:56:52.72453
HMDHFDplus	2024-12-20	Tim Riffe	demography, VirtualPop, vital, popstudy, RcmdrPlugin.RiskDemo, SEERaBomb	6	2024-12-18 02:56:52.72453
inspectdf	2024-12-20	Alastair Rushworth	bulkreadr	1	2024-12-18 02:56:52.72453
quickPWCR	2024-12-20	Xiaohao Yang	streetscape	1	2024-12-18 02:56:52.72453
tidymv	2024-12-20	Stefano Coretta	rticulate	1	2024-12-18 02:56:52.72453
codebook	2024-12-20	Ruben Arslan		0	2024-12-18 02:56:52.72453
CoFRA	2024-12-20	Rune Matthiesen		0	2024-12-18 02:56:52.72453
covid19brazil	2024-12-20	Alexandre Loures		0	2024-12-18 02:56:52.72453
DNH4	2024-12-20	Chanyub Park		0	2024-12-18 02:56:52.72453
dsmSearch	2024-12-20	Xiaohao Yang		0	2024-12-18 02:56:52.72453
htmldf	2024-12-20	Alastair Rushworth		0	2024-12-18 02:56:52.72453
KaradaColor	2024-12-20	Masaki Fujishima		0	2024-12-18 02:56:52.72453
paleopop	2024-12-20	July Pilowsky		0	2024-12-18 02:56:52.72453
robotoolbox	2024-12-20	Ahmadou Dicko		0	2024-12-18 02:56:52.72453
streetscape	2024-12-20	Xiaohao Yang		0	2024-12-18 02:56:52.72453
viewscape	2024-12-20	Xiaohao Yang		0	2024-12-18 02:56:52.72453
zerotradeflow	2024-12-20	Alexandre Loures		0	2024-12-18 02:56:52.72453
R6P	2024-12-24	Harel Lustiger	BKTR, PTXQC, rmzqc, RKorAPClient	4	2024-12-18 02:56:52.72453
picasso	2024-12-25	Jason Ge	sparsevar, MissCP, VARDetect	3	2024-12-18 02:56:52.72453
