Package	Deadline	Maintainer	Packages	Dependencies	Snapshot
Qindex	2025-02-01	Tingting Zhan		0	2025-02-01 14:15:40.560241
smooth	2025-02-02	Ivan Svetunkov	lablaster, legion, MAPA, mvgam, complex, tsintermittent, tsutils, decompDL, EEMDlstm, ICompELM, nnfor, TSdeeplearning, TSLSTM, TSLSTMplus, WaveletRF, WaveletSVR, EEMDelm, hybridts, mrf, MSGARCHelm, stlELM, stlTDNN, tswge, VMDML, vmdTDNN, WaveletLSTM	26	2025-02-01 14:15:40.560241
dartR.base	2025-02-02	Bernd Gruber	dartR.captive, dartR.popgen, dartR.sexlinked, dartR.sim, dartR.spatial	5	2025-02-01 14:15:40.560241
autothresholdr	2025-02-02	Rory Nolan	coveR2, detrendr, hemispheR, nandb	4	2025-02-01 14:15:40.560241
diceR	2025-02-02	Derek Chiu	ccml, clusterMI	2	2025-02-01 14:15:40.560241
AhoCorasickTrie	2025-02-02	Matt Chambers	prozor	1	2025-02-01 14:15:40.560241
detrendr	2025-02-02	Rory Nolan	nandb	1	2025-02-01 14:15:40.560241
coil	2025-02-02	Cameron M. Nugent		0	2025-02-01 14:15:40.560241
CoImp	2025-02-02	Francesca Marta Lilja Di Lascio		0	2025-02-01 14:15:40.560241
dartR.captive	2025-02-02	Bernd Gruber		0	2025-02-01 14:15:40.560241
ExpImage	2025-02-02	Alcinei Mistico Azevedo		0	2025-02-01 14:15:40.560241
fbati	2025-02-02	Thomas Hoffmann		0	2025-02-01 14:15:40.560241
nimbleAPT	2025-02-02	David Pleydell		0	2025-02-01 14:15:40.560241
PlasmaMutationDetector2	2025-02-02	Rozenholc		0	2025-02-01 14:15:40.560241
TransProR	2025-02-02	Dongyue Yu		0	2025-02-01 14:15:40.560241
