Package	Deadline	Maintainer	Packages	Dependencies	Snapshot
EFAfactors	2024-12-03	Haijiang Qin		0	2024-12-06 10:21:11.854203
dbplyr	2024-12-06	Hadley Wickham	activAnalyzer, allofus, Andromeda, apache.sedona, arcgisutils, basedosdados, bcdata, CDMConnector, childesr, ckanr, CohortConstructor, CohortSurvival, connections, DatabaseConnector, dbglm, diseasystore, DrugUtilisation, duckdbfs, ECOTOXr, etl, farr, geospark, globaltrends, healthdb, implyr, IncidencePrevalence, lazysf, mdsr, mpathsenser, overtureR, pointblank, pysparklyr, qst, RClickhouse, ResultModelManager, ReviewR, RPresto, SCDB, sergeant, shinyNotes, simaerep, soundClass, sparklyr, sparklyr.flint, sqliteutils, sqlscore, taxadb, tidier, tidyhydat, tidyverse, vegdata, VicmapR, omopgenerics, Cyclops, FeatureExtraction, TreatmentPatterns, arcgisgeocode, arcgislayers, arcpbf, bcmaps, CohortCharacteristics, CohortSymmetry, DrugExposureDiagnostics, OmopSketch, PatientProfiles, TestGenerator, One4All, opendatatoronto, Achilles, CohortAlgebra, CohortExplorer, CohortGenerator, CommonDataModel, gbifdb, neonstore, rfishbase, macleish, CodelistGenerator, omock, OmopViewer, visOmopResults, DIZutils, openSkies, catalog, graphframes, pathling, rollup, rsparkling, s3.resourcer, shinyML, spark.sas7bdat, sparkavro, sparkbq, sparkhail, sparklyr.nested, sparktf, sparkwarc, sparkxgb, variantspark, bdc, CSHShydRology, fasstr, RivRetrieve, AdverseEvents, amanida, archetyper, ARGOS, cgmquantify, CondiS, CopSens, crops, crt2power, CSCNet, dendRoAnalyst, div, doublIn, dplyrAssist, drimmR, dumbbell, DYNATE, EntropicStatistics, EpiSemble, epitweetr, expDB, foodwebWrapper, footBayes, GB5mcPred, ggESDA, ggplotAssist, hdpGLM, hlaR, hosm, icertool, ImFoR, ImVol, JAGStree, LipidomicsR, MAGMA.R, margaret, markowitz, mcmsupply, metaprotr, MF.beta4, mispitools, mosaicModel, mulea, nonet, oncoPredict, OpEnHiMR, OpenRepGrid.ic, optimos.prime, papci, PEIMAN2, phrases, polimetrics, PSIM, puzzle, RanglaPunjab, ReSurv, Ricrt, ridigbio, rnaCrosslinkOO, RobinCar, RQdeltaCT, rUM, ShapleyValue, SPARSEMODr, StanMoMo, statVisual, studyStrap, surveyPrev, SurvHiDim, sweep, touRnamentofchampions, transPlotR, tswge, Tushare, UKB.COVID19, UniprotR, UpAndDownPlots, usfertilizer, VectorCodeR, WeatherSentiment, windows.pls, WinRatio, zerotradeflow, taxlist, vegtable, FedData, Eunomia, cpop, BrokenAdaptiveRidge, EvidenceSynthesis, IterativeHardThresholding, DQAgui, DQAstats, forensIT, FishPhyloMaker, gatoRs, spocc, practicalSigni, anomalize, taxnames, rangeModelMetadata, wallace, ENMeval, ENMTools	207	2024-12-06 10:21:11.854203
caret	2024-12-07	Max Kuhn	adabag, AdaSampling, aggTrees, aLFQ, ampir, AnalysisLin, AntAngioCOOL, assignPOP, autoBagging, AutoStepwiseGLM, BioM2, BLRShiny, BLRShiny2, bnviewer, bspcov, caretEnsemble, caretForecast, CAST, cdgd, CEEMDANML, classifierplots, ClinicalUtilityRecal, CMShiny, coca, combat.enigma, CondiS, ConfusionTableR, ContaminatedMixt, CopulaCenR, Coxmos, criticality, CSCNet, CTShiny, CTShiny2, cytominer, D2MCS, daltoolbox, DamiaNN, datafsm, dbcsp, DebiasInfer, DeepLearningCausal, dfr, dissever, DMTL, driveR, DSAM, dtComb, eclust, Ecume, EMgaussian, EpiSemble, evalITR, fairness, FAST.R, FastJM, FeatureTerminatoR, FFTrees, flevr, FLORAL, flowml, fmf, fscaret, FuncNN, FunctanSNP, GB5mcPred, geomod, glmtrans, glmtree, GPCMlasso, HaploCatcher, hdcate, heimdall, HTRX, hypervolume, icardaFIGSr, idiolect, iForecast, iimi, imanr, ImFoR, ImML, immunaut, imt, ImVol, ipd, iSFun, JMH, JQL, KCSKNNShiny, KCSNBShiny, kfa, KMEANS.KNN, KNNShiny, l1spectral, LassoGEE, less, lilikoi, LncFinder, loadeR, LPRelevance, m2b, mand, MantaID, manymodelr, matrans, MBMethPred, mcca, MetabolomicsBasics, metaEnsembleR, meteo, mgwrsar, MiDA, mikropml, MiMIR, MLDataR, mlmts, mlquantify, MNLR, modelgrid, mosaicModel, mpae, MRFcov, MRReg, MSclassifR, MSiP, mtlgmm, multiclassPairs, MUVR2, mxnorm, natstrat, NBShiny, NBShiny2, NBShiny3, nbTransmission, NEONiso, nestedcv, NeuralSens, noisemodel, nonet, NonProbEst, npcs, OddsPlotty, omu, OncoSubtype, oncrawlR, OOS, OpEnHiMR, outliers.ts.oga, panelWranglR, pathwayTMB, peptoolkit, pheble, planningML, pomodoro, PredPsych, predtoolsTS, PriceIndices, promor, RadialVisGadgets, RandPro, RankPCA, RaSEn, RCTrep, refitME, RelimpPCR, RGCCA, RISCA, rmda, robustcov, roseRF, rQSAR, RStoolbox, rTLsDeep, Rtropical, SAiVE, scR, sentometrics, sgs, skedastic, SLEMI, smdi, sMTL, SoftBart, SpatialML, sregsurvey, ssr, stabiliser, stacking, stepPenal, studyStrap, survcompare, survivalSL, swag, TrafficBDE, tRigon, TSEAL, TSGS, varEst, VIMPS, waterquality, WaveletGBM, WaveletKNN, WaveletLSTM, WaveletML, waves, WMAP, WRTDStidal, rminer, traineR, dbnlearn, WaveletETS, CompareMultipleModels, WaveletMLbestFL, klic, flexCWM, daltoolboxdp, harbinger, tspredit, CausalGPS, TDLM, dsld, jmBIG, BAT, cati, Ostats, raptr, discoveR, predictoR, regressoR, ProgModule, divraster, red, gecko	234	2024-12-06 10:21:11.854203
distr	2024-12-07	Peter Ruckdeschel	distrDoc, distrEllipse, distrEx, distrMod, distrRmetrics, distrSim, distrTeach, EDOIF, fastglmpca, funStatTest, genlogis, mediationsens, meteR, miCoPTCM, moderate.mediation, RandVar, RcmdrPlugin.TeachStat, RobAStBase, RobExtremes, RobLox, RobLoxBioC, ROptEst, GJRM, distrTEst, BRBVS, flexmsm, micemd, penfa, clusterMI	29	2024-12-06 10:21:11.854203
PerformanceAnalytics	2024-12-07	Brian G. Peterson	AssetAllocation, ConnectednessApproach, facmodCS, facmodTS, HeckmanEM, highOrderPortfolios, PCRA, pedquant, PortfolioAnalytics, portfolioBacktest, RMOPI, rmsfuns, RTL, scRNAtools, Semblance, SlidingWindows, SMNCensReg, tidyquant, sweep, anomalize	20	2024-12-06 10:21:11.854203
dimRed	2024-12-07	Guido Kraemer		0	2024-12-06 10:21:11.854203
PvSTATEM	2024-12-07	Tymoteusz Kwiecinski		0	2024-12-06 10:21:11.854203
network	2024-12-08	Carter T. Butts	BasketballAnalyzeR, Bergm, BGGM, bigergm, bingat, BlockmodelingGUI, bootcluster, btergm, calmr, CINNA, ClusTCR2, collpcm, conserveR, degreenet, discourseGT, dnr, EGAnet, EloRating, EpiModel, epinet, ergm, ergm.count, ergm.ego, ergm.multi, ergm.rank, ergMargins, ergmgp, ergmito, fergm, genBaRcode, GGMncv, GGMnonreg, ggnetwork, GOxploreR, GUEST, haplotypes, InflectSSP, intergraph, interplex, ITNr, latentnet, Linkage, lolog, manynet, metanetwork, mlergm, motifr, MRPC, ndtv, netdiffuseR, netmap, netmediate, netplot, networkABC, NetworkChange, NetworkDistance, networkDynamic, networkDynamicData, NetworkExtinction, networkLite, PAFit, PDN, pkggraph, quanteda.textplots, RDS, RHMS, SBICgraph, sidier, sna, SparseTSCGM, statnet, statnetWeb, tergm, tergmLite, tip, tsna, VBLPCM, WOTPLY, WRSS, xergm.common, fglsnet, BFpack, easybgm, latentFactoR, EloSteepness, nemBM, IRCcheck, BioM2, ecostate, inferCSN, phyloseqGraphTest, econet, intensitynet, linkprediction, MEclustnet, migraph, etree, Neighboot, SimRDS, sspse, BANAM, bipartite, CEoptim, concorR, cssTools, ecoCopula, ftsspec, keyplayer, NetCluster, relevent, sfc, spaceNet, SSrat, bioregion, bootPLS, cassandRa, econetwork, econullnetr, NIMAA, nos, PhageCocktail, plsRglm, tapnet, DPBBM, ecopower, ecostats, plsRbeta, plsRcox, biospear, plasma	130	2024-12-06 10:21:11.854203
fluxfinder	2024-12-08	Stephanie Wilson		0	2024-12-06 10:21:11.854203
projections	2024-12-08	Thibaut Jombart		0	2024-12-06 10:21:11.854203
