Package	Deadline	Maintainer	Packages	Dependencies	Snapshot
quantreg	2024-11-19	Roger Koenker	abc, ACE.CoCo, aftsem, alphaOutlier, asm, atRisk, batchtma, bgumbel, binsreg, boostrq, BwQuant, car, caROC, chipPCR, cluscov, ClusPred, cmcR, cmprskQR, cobs, Compositional, ConnectednessApproach, Counterfactual, cqrReg, crs, ddpca, diagL1, diveMove, EdSurvey, emplik, erah, esreg, EXRQ, fairadapt, ForecastComb, ForecastCombinations, gapfill, geeVerse, GEInter, georob, ggpmisc, ggquickeda, gJLS2, HDRFA, hettx, HIMA, hrqglas, invacost, iNZightPlots, JWileymisc, locpolExpectile, lqmix, lqr, lss2, marlod, matrisk, MCMCpack, MECfda, MendelianRandomization, midasr, MiRKAT, modeLLtest, MRZero, MTE, multid, MultiKink, mvctm, NCA, newIMVC, nlmeVPC, np, NSM3, OPTtesting, pcvr, PDMIF, perryExamples, pez, pfa, pheno, plaqr, plotluck, profExtrema, pwr2ppl, qcauchyreg, qcpm, qfa, QRank, QregBB, QRegVCM, QRIpkg, qris, qrjoint, qrLMM, qrmix, qrNLMM, qte, QTE.RD, QTOCen, Qtools, quantCurves, quantdr, quantilogram, quantoptr, quantreg.nonpar, quantregGrowth, quantspec, RATest, Rearrangement, reverseR, riv, rlme, rms, robmed, RobPer, RPPanalyzer, RPPASPACE, rqcanon, rqPen, rrat, SeBR, SGP, SimplyAgree, siqr, smoothAPC, sn, SortedEffects, SpatialRegimes, STMr, stR, subsampling, SystemicR, TSrepr, tsrobprep, TTCA, turboEM, unitquantreg, vdg, weightQuant, WRTDStidal, consrq, tidyvpc, abctools, EasyABC, ecolottery, poems, adventr, AER, afex, AFR, aggTrees, AICcPermanova, alr4, anacor, ANOVAIREVA, AovBay, apaTables, apc, aPCoA, apt, ardl.nardl, ART, ARTool, AutoScore, BayesianMediationA, bayesLife, bbw, BetterReg, bgmm, BioPred, blorr, boot.pval, candisc, clptheory, Cluster.OBeu, CMHNPA, cna, colocPropTest, combat.enigma, compindexR, Countr, cprobit, cv, Deducer, DEGRE, dhglm, DIDmultiplegtDYN, DistatisR, DJL, drc, dynlm, dynr, EasyDescribe, eatRep, ecm, eda4treeR, EffectLiteR, envoutliers, epr, ERSA, EvaluateCore, eventstudyr, ez, FactoMineR, fingerPro, fitplc, forestmangr, FSA, fxregime, gcmr, genridge, glmmSeq, gma, grafify, granova, GrimR, GroupComparisons, gWQS, HanStat, HDANOVA, heplots, hysteresis, ibd, iClick, interactionR, iNZightRegression, itemanalysis, its.analysis, ivreg, jmv, lambdaTS, ldamatch, lidaRtRee, lilikoi, LipidomicsR, lmviz, LongDat, LPGraph, LSDsensitivity, lulab.utils, macc, matlib, MDMA, MDMR, medflex, miceafter, micEconCES, MIIVsem, mixlm, mlma, mlrpro, mma, mmabig, mmibain, ModTools, MorphoTools2, MPGE, MSclassifR, MTest, MultBiplotR, multiblock, multpois, mvdalab, mvinfluence, MVN, My.stepwise, nardl, ndi, nearfar, neatStats, nestedLogit, NHPoisson, NitrogenUptake2016, NonlinearTSA, NormData, OlinkAnalyze, olsrr, oncoPredict, onewaytests, OPSR, papeR, phia, piecewiseSEM, plsRglm, PointFore, polimetrics, poliscidata, predictmeans, prettyglm, PROreg, psfmi, pubh, pwr4exp, quantification, quest, quickregression, r2spss, rADA, radiant.data, radiant.model, radiant.multivariate, randomForestVIP, rasclass, Rcmdr, RcmdrMisc, RcmdrPlugin.NMBU, RcmdrPlugin.survival, RCPA3, RegAssure, regtools, RESI, rosetta, rstatix, RVAideMemoire, SAEval, SARP.compo, scan, scorecardModelUtils, ScottKnottESD, sdamr, sdcMicro, seedreg, SemNeT, SignifReg, SimNPH, simr, SimTimeVar, skpr, spANOVA, spldv, ssMRCD, starry, statforbiology, stats4teaching, Statsomat, stepp, StroupGLMM, systemfit, tern, tidycomm, tidySEM, tstests, twowaytests, VIM, volker, WAnova, zetadiv, MBmca, biospear, demography, joineRML, L2E, logcondiscr, simest, vital, rTwig, CompositionalML, CompositionalRF, MLE, QFASA, cops, tidyEdSurvey, elhmc, extremis, glmc, kmc, maczic, mvhtests, spearmanCI, esback, GeomComb, CRMetrics, explainer, hydroroute, neutralitytestr, qPCRtools, RQdeltaCT, shinyTempSignal, simET, visa, mind, multilevelTools, pscore, adaptsmoFMRI, animalEKF, bacr, bartcs, Bayenet, bayesanova, BayesDissolution, bayesDP, BayesESS, BayesianFactorZoo, BayesLCA, BayesMFSurv, bayesmove, BayesPostEst, bayest, BCClong, Bergm, BHAI, bmet, BMRMM, bmstdr, BMTAR, brxx, BSTZINB, CARBayes, CARBayesST, ccpsyc, clickb, coarseDataTools, ConsReg, DPtree, evolqg, ezECM, factor.switching, FAVAR, fdrDiscreteNull, fungible, hdpGLM, HMMmlselect, Hmsc, lchemix, llbayesireg, lsirm12pl, manet, maxcombo, MBSGS, MBSP, mbsts, MCPAN, mHMMbayes, midas2, miscF, miWQS, mixAR, MixSIAR, multilevelmediation, mvst, netcmc, NetworkChange, NMADiagT, noncomplyR, NVCSSL, optDesignSlopeInt, pCalibrate, PICBayes, PLMIX, poolHelper, popdemo, PortRisk, prolsirm, PRSPGx, qgg, quid, Rdta, riAFTBART, robustsae, RSGHB, scorematchingad, sectorgap, SensMap, SizeEstimation, sizeMat, sorocs, sparsereg, spikeSlabGAM, ssmsn, StReg, SurrogateBMA, telescope, twl, uskewFactors, anominate, assessor, bndovb, causalweight, Compind, condSURV, CovSel, DepthProc, drtmle, generalCorr, kdml, lg, nlpred, nonsmooth, npbr, nse, practicalSigni, pssmooth, rcDEA, rddtools, ROCnReg, semsfa, sharpPen, sievePH, simIReff, sobolnp, survidm, tempted, phenmod, nlmm, scpi, mlmts, LorenzRegression, panelhetero, base.rms, bujar, calibmsm, CalibrationCurves, CaseBasedReasoning, CatPredi, cg, contrast, coxed, CPE, cpmBigData, crosslag, CsChange, csmpv, depigner, diversityForest, DynNom, ems, FeaLect, ggrcs, ggrisk, Greg, greport, haplo.stats, hIRT, interactionRCS, LCAextend, lodGWAS, lordif, MetabolicSurv, missDeaths, movieROC, nlrr, nomogramEx, nomogramFormula, ordcrm, ormBigData, ormPlot, pec, peRiodiCS, pleio, plsRcox, PResiduals, QHScrnomo, qreport, rankCorr, rcssci, riskRegression, rmsb, seawaveQ, seqimpute, shrink, sMSROC, Surrogate, survAUC, survHE, SvyNom, TrendInTrend, robmedExtra, mvDFA, evalITR, abtest, ALDqr, asymmetry.measures, BayesMultiMode, blapsr, bssn, distdichoR, enveomics.R, ExtremalDep, facmodCS, facmodTS, fAssets, fMultivar, fmx, GeoModels, goft, holi, ICAOD, lancor, latent2likert, MAINT.Data, mateable, MCMCtreeR, MNARclust, npboottprm, ordgam, parfm, parTimeROC, pema, PerRegMod, proteus, QuadratiK, RFlocalfdr, Rgbp, Rlgt, rSHAPE, sampsizeval, scdtb, SFM, SHELF, SMARTp, SPreg, ssmn, ssmodels, TFisher, ThermalSampleR, TSMSN, VarReg, ATAforecasting, Certara.VPCResults, addreg, COMBO, COMMA, logbin, SpatialVx, chantrics, civ, CleaningValidation, clespr, clusterSEs, controlfunctionIV, ddml, dLagM, glm.predict, GLMpack, gplm, interflex, ivdoctr, prodest, RCT2, rdd, rddapp, rdlocrand, REndo, scqe, AOboot, BiostatsUHNplus, bruceR, fullfact, r2glmm, statsExpressions, Superpower, fable.ata, bayesCT, bayesPop, BFpack, ggrasp, midoc, MultivariateAnalysis, SurveyCC, causalHyperGraph, cnaOpt, frscore, EpiEstim, cenROC, oii, popstudy, RcmdrPlugin.RiskDemo, SEERaBomb, familial, OptimaRegion, DIDmultiplegt, AgroR, AgroReg, beadplexr, drcSeedGerm, drcte, dynamAedes, ec50estimator, envalysis, ezec, QurvE, staRdom, stressaddition, VDAP, ARDL, CADFtest, meboot, nlrx, gvcR, MOTE, multifear, negligible, npIntFactRep, psychReport, psyntur, RcmdrPlugin.EACSPIR, TriMatch, CAinterprTools, CINNA, ClustBlock, clusterMI, denoiseR, discoveR, factoextra, FactoInvestigate, Factoshiny, fdm2id, fmf, GDAtools, ggfacto, gspcr, HDoutliers, HistDAWass, HotellingEllipse, Indicator, interca, inti, mFD, mimi, missMDA, MLGL, NaileR, OTrecod, packMBPLSDA, phoenics, powdR, R.temis, RclusTool, RcmdrPlugin.FactoMineR, rKOMICS, RSDA, rYWAASB, SensoMineR, soc.ca, SPARTAAS, SQI, tetraclasse, tidymodlr, UEI, uHMM, visualpred, wilson, Xplortext, DGP4LCF, fPortfolio, bifurcatingr, BLCOP, fCopulae, latentcor, mixedCCA, QuantileGH, hilldiv, omu, voiceR, cdmTools, EGAnet, Rnest, vampyr, CompMix, lwqs, wqspt, BIGDAWG, haplo.ccs, IFP, pould, SNPassoc, ICSClust, ispd, pbbd, slr, ivgets, OneSampleMR, robust2sls, jmBIG, TestAnaAPP, LPKsample, LPsmooth, biplotbootGUI, dymo, ETRep, hyperoverlap, IOLS, panelSUR, smallstuff, VIRF, ANOM, BSagri, pairwiseCI, gimme, MIIVefa, agRee, PottsUtils, DTSR, DFA.CANCOR, KarsTS, RSP, phyloTop, bootwar, npboottprmFBar, surrosurv, bnnSurvival, DynForest, Landmarking, obliqueRSF, OSTE, pammtools, survex, SurvMA, SurvMetrics, timeROC, plasma, bootPLS, plsRbeta, epizootic, paleopop, poolABC, exactLTRE, mpmsim, Rage, raincin, Rcompadre, radiant, radiant.basics, radiant.design, BiodiversityR, RcmdrPlugin.aRnova, RcmdrPlugin.BiclustGUI, RcmdrPlugin.BWS1, RcmdrPlugin.BWS2, RcmdrPlugin.BWS3, RcmdrPlugin.cpd, RcmdrPlugin.DCCV, RcmdrPlugin.DCE, RcmdrPlugin.depthTools, RcmdrPlugin.DoE, RcmdrPlugin.EBM, RcmdrPlugin.EcoVirtual, RcmdrPlugin.Export, RcmdrPlugin.EZR, RcmdrPlugin.GWRM, RcmdrPlugin.HH, RcmdrPlugin.KMggplot2, RcmdrPlugin.MA, RcmdrPlugin.MPAStats, RcmdrPlugin.orloca, RcmdrPlugin.PcaRobust, RcmdrPlugin.RMTCJags, RcmdrPlugin.ROC, RcmdrPlugin.sos, RcmdrPlugin.TeachingDemos, RcmdrPlugin.TeachStat, RcmdrPlugin.temis, RcmdrPlugin.UCA, RcmdrPlugin.WorldFlora, brsim, mpae, dsld, partools, qeML, toweranNA, BayesSurvive, burgle, BuyseTest, contsurvplot, CSCNet, pencal, psbcSpeedUp, wally, apollo, dumbbell, EQUALrepeat, ggpubr, GimmeMyPlot, microbial, microdiluteR, qPCRhelper, reportRmd, SqueakR, tcgaViz, vannstats, vvdoctor, scplot, convdistr, disbayes, vaccine, countSTAR, cancerGI, ChainLadder, diffusion, erer, micEconAids, micEconSNQP, modnets, sampleSelection, SIRE, tvReg, chevron, teal.modules.clinical, teal.modules.general, tern.gee, tern.mmrm, metap, FuzzyImputationTest, lfproQC, missCompare, onlineBcp, promor, robCompositions, simPop, simputation, bootCT, BANAM, BGGM, SSHAARP, AlleleShift, knfi, ChineseNames, PsychWordVec, cdcatR, clmplus, mmiCATs, latentFactoR, covid19india, earlyR, EpiLPS, ern, ASRgenomics, compindPCA, didec, disto, drclust, ggheatmap, hclusteasy, ihclust, immcp, immunarch, jrSiCKLSNMF, KMEANS.KNN, LDABiplots, metaCluster, MissCP, MSmix, PhageCocktail, qvirus, sejmRP, statgenHTP, statVisual, SurvHiDim, tRigon, WormTensor, chooseGCM, RMOPI, adestr, AdverseEvents, agriutilities, ale, AnanseSeurat, AnnoProbe, APCI, APCtools, asmbPLS, baker, BayesianPlatformDesignTimeTrend, bayMDS, bdl, BEAMR, BinMat, BioM2, BNPmix, BREADR, bSi, ClusROC, clustEff, coda4microbiome, CompAREdesign, conformalInference.fd, convergEU, corx, CovidMutations, Coxmos, crctStepdown, csa, cvCovEst, dae, ddtlcm, DFD, dfoliatR, did, dPCP, dtComb, ecocbo, ENMTools, entropart, esmtools, fastai, finnsurveytext, FRK, FuncNN, GABB, geneHapR, geocausal, gfoRmula, ggESDA, ggScatRidges, GNAR, grapesAgri1, hdcuremodels, heiscore, hJAM, HYPEtools, iCellR, IDEATools, iglu, ImFoR, iNEXT.4steps, insane, IRon, jskm, jsmodule, lehuynh, longreadvqs, LorMe, LTCDM, mappoly, mc2d, meconetcomp, mecoturn, MERO, metaviz, MF.beta4, miceRanger, missingHE, MSigSeg, MSPRT, neonPlantEcology, nlmixr2rpt, OenoKPM, ofpetrial, onemap, OSLdecomposition, outqrf, parafac4microbiome, ParBayesianOptimization, pbcc, pctax, PDXpower, PRECAST, pRecipe, predRupdate, promotionImpact, PUMP, RCTrep, reappraised, RegrCoeffsExplorer, reservoirnet, rfVarImpOOB, riskCommunicator, rnmamod, rPACI, rrtable, rSAFE, RVA, scITD, SCOUTer, scSpatialSIM, SEIRfansy, serocalculator, SHAPforxgboost, ShellChron, sigminer, SKFCPD, smplot2, SouthParkRshiny, SpatialDDLS, SRTsim, surtvep, survminer, SWTools, symptomcheckR, TCIU, TestGardener, tidyplots, tipsae, trawl, UCSCXenaShiny, UNCOVER, UniprotR, VALERIE, vici, viewpoly, vmeasur, volcano3D, vsd, vvshiny, WINS, vDiveR, OutliersO3, CB2, ICDS, metapro, PEACH, geneticae, imp4p, INSPIRE, NIMAA, tabledown, autoReg, KMunicate, relsurv, robber, cdparcoord, CMMs, symbolicDA, EMSS, HeckmanEM, localIV, ssmrob, xtsum, phm, dartR.base, ggstatsplot, JustifyAlpha, ePCR, FastJM, JMH, survcompare, PSAboot, easybgm, eselect, PPLasso, WLogit, asremlPlus, edibble, growthPheno, imageData, dartR.captive, dartR.popgen, dartR.sexlinked, dartR.sim, dartR.spatial, did2s, optic, inpdfr, IDE, mi4p, qtlpoly, AnnuityRIR, CloneSeeker, CopulaREMADA, CPP, handwriter, hmix, iCARH, OSCV, PRA, rriskDistributions, RSurveillance, stratifyR, Umpire, ProFAST, evapoRe, cuRe, RISCA, webr, ReSurv, allMT, BRACE, CondiS, FlexVarJM, GFDsurv, IDMIR, LongCART, MicrobiomeSurv, MiMIR, NADA2, Oncofilterfast, OneSampleLogRankTest, pathwayTMB, PMAPscore, ProgModule, reconstructKM, signatureSurvival, SMDIC, survivalAnalysis, tinyarray, mdsOpt, handwriterApp, handwriterRF, CAESAR.Suite, decisionSupport	1188	2024-11-22 10:20:31.376137
callme	2024-11-21	Mike Cheng		0	2024-11-22 10:20:31.376137
geoidep	2024-11-22	antony barja		0	2024-11-22 10:20:31.376137
network	2024-11-24	Carter T. Butts	BasketballAnalyzeR, Bergm, BGGM, bigergm, bingat, BlockmodelingGUI, bootcluster, btergm, calmr, CINNA, ClusTCR2, collpcm, conserveR, degreenet, discourseGT, dnr, EGAnet, EloRating, EpiModel, epinet, ergm, ergm.count, ergm.ego, ergm.multi, ergm.rank, ergMargins, ergmgp, ergmito, fergm, fglsnet, genBaRcode, GGMncv, GGMnonreg, ggnetwork, GOxploreR, GUEST, haplotypes, InflectSSP, intergraph, interplex, ITNr, latentnet, Linkage, lolog, manynet, metanetwork, mlergm, motifr, MRPC, ndtv, netdiffuseR, netmap, netmediate, netplot, networkABC, NetworkChange, NetworkDistance, networkDynamicData, NetworkExtinction, networkLite, PAFit, PDN, pkggraph, quanteda.textplots, RDS, RHMS, SBICgraph, sidier, sna, SparseTSCGM, statnet, statnetWeb, tergm, tergmLite, tip, tsna, VBLPCM, WOTPLY, WRSS, xergm.common, networkDynamic, BFpack, easybgm, latentFactoR, EloSteepness, nemBM, IRCcheck, BioM2, inferCSN, phyloseqGraphTest, econet, intensitynet, linkprediction, MEclustnet, migraph, etree, Neighboot, SimRDS, sspse, BANAM, bipartite, CEoptim, concorR, cssTools, ecoCopula, ftsspec, keyplayer, NetCluster, relevent, sfc, spaceNet, SSrat, bioregion, bootPLS, cassandRa, econetwork, econullnetr, NIMAA, nos, PhageCocktail, plsRglm, RPANDA, tapnet, DPBBM, ecopower, ecostats, plsRbeta, plsRcox, biospear, plasma	130	2024-11-22 10:20:31.376137
easyclimate	2024-11-24	Verónica Cruz-Alonso		0	2024-11-22 10:20:31.376137
fluxfinder	2024-11-24	Stephanie Wilson		0	2024-11-22 10:20:31.376137
gdm	2024-11-24	Matt Fitzpatrick		0	2024-11-22 10:20:31.376137
orthGS	2024-11-24	Elena Aledo		0	2024-11-22 10:20:31.376137
projections	2024-11-24	Thibaut Jombart		0	2024-11-22 10:20:31.376137
RPANDA	2024-11-24	Hélène Morlon		0	2024-11-22 10:20:31.376137
