Package	Deadline	Maintainer	Packages	Dependencies	Snapshot
EFAfactors	2024-12-03	Haijiang Qin		0	2024-12-08 01:40:11.687396
caret	2024-12-07	Max Kuhn	adabag, AdaSampling, aggTrees, aLFQ, ampir, AnalysisLin, AntAngioCOOL, assignPOP, autoBagging, AutoStepwiseGLM, BioM2, BLRShiny, BLRShiny2, bnviewer, bspcov, caretEnsemble, caretForecast, CAST, cdgd, CEEMDANML, classifierplots, ClinicalUtilityRecal, CMShiny, coca, combat.enigma, CondiS, ConfusionTableR, ContaminatedMixt, CopulaCenR, Coxmos, criticality, CSCNet, CTShiny, CTShiny2, cytominer, D2MCS, daltoolbox, DamiaNN, datafsm, dbcsp, DebiasInfer, DeepLearningCausal, dfr, dissever, DMTL, driveR, DSAM, dtComb, eclust, Ecume, EMgaussian, EpiSemble, evalITR, fairness, FAST.R, FastJM, FeatureTerminatoR, FFTrees, flevr, FLORAL, flowml, fmf, fscaret, FuncNN, FunctanSNP, GB5mcPred, geomod, glmtrans, glmtree, GPCMlasso, HaploCatcher, hdcate, heimdall, HTRX, hypervolume, icardaFIGSr, idiolect, iForecast, iimi, imanr, ImFoR, ImML, immunaut, imt, ImVol, ipd, iSFun, JMH, JQL, KCSKNNShiny, KCSNBShiny, kfa, KMEANS.KNN, KNNShiny, l1spectral, LassoGEE, less, lilikoi, LncFinder, loadeR, LPRelevance, m2b, mand, MantaID, manymodelr, matrans, MBMethPred, mcca, MetabolomicsBasics, metaEnsembleR, meteo, mgwrsar, MiDA, mikropml, MiMIR, MLDataR, mlmts, mlquantify, MNLR, modelgrid, mosaicModel, mpae, MRFcov, MRReg, MSclassifR, MSiP, mtlgmm, multiclassPairs, MUVR2, mxnorm, natstrat, NBShiny, NBShiny2, NBShiny3, nbTransmission, NEONiso, nestedcv, NeuralSens, noisemodel, nonet, NonProbEst, npcs, OddsPlotty, omu, OncoSubtype, oncrawlR, OOS, OpEnHiMR, outliers.ts.oga, panelWranglR, pathwayTMB, peptoolkit, pheble, planningML, pomodoro, PredPsych, predtoolsTS, PriceIndices, promor, RadialVisGadgets, RandPro, RankPCA, RaSEn, RCTrep, refitME, RelimpPCR, RGCCA, RISCA, rmda, robustcov, roseRF, rQSAR, RStoolbox, rTLsDeep, Rtropical, SAiVE, scR, sentometrics, sgs, skedastic, SLEMI, smdi, sMTL, SoftBart, SpatialML, sregsurvey, ssr, stabiliser, stacking, stepPenal, studyStrap, survcompare, survivalSL, swag, TrafficBDE, tRigon, TSEAL, TSGS, varEst, VIMPS, waterquality, WaveletGBM, WaveletKNN, WaveletLSTM, WaveletML, waves, WMAP, WRTDStidal, rminer, traineR, dbnlearn, WaveletETS, CompareMultipleModels, WaveletMLbestFL, klic, flexCWM, daltoolboxdp, harbinger, tspredit, CausalGPS, TDLM, dsld, jmBIG, BAT, cati, Ostats, raptr, discoveR, predictoR, regressoR, ProgModule, divraster, red, gecko	234	2024-12-08 01:40:11.687396
distr	2024-12-07	Peter Ruckdeschel	distrDoc, distrEllipse, distrEx, distrMod, distrRmetrics, distrSim, distrTeach, EDOIF, fastglmpca, funStatTest, genlogis, mediationsens, meteR, miCoPTCM, moderate.mediation, RandVar, RcmdrPlugin.TeachStat, RobAStBase, RobExtremes, RobLox, RobLoxBioC, ROptEst, GJRM, distrTEst, BRBVS, flexmsm, micemd, penfa, clusterMI	29	2024-12-08 01:40:11.687396
PerformanceAnalytics	2024-12-07	Brian G. Peterson	AssetAllocation, facmodCS, facmodTS, HeckmanEM, highOrderPortfolios, PCRA, pedquant, PortfolioAnalytics, portfolioBacktest, RMOPI, rmsfuns, RTL, scRNAtools, Semblance, SlidingWindows, SMNCensReg, tidyquant, sweep, anomalize	19	2024-12-08 01:40:11.687396
dimRed	2024-12-07	Guido Kraemer		0	2024-12-08 01:40:11.687396
PvSTATEM	2024-12-07	Tymoteusz Kwiecinski		0	2024-12-08 01:40:11.687396
network	2024-12-08	Carter T. Butts	BasketballAnalyzeR, Bergm, BGGM, bigergm, bingat, BlockmodelingGUI, bootcluster, btergm, calmr, CINNA, ClusTCR2, collpcm, conserveR, degreenet, discourseGT, dnr, EGAnet, EloRating, EpiModel, epinet, ergm, ergm.count, ergm.ego, ergm.multi, ergm.rank, ergMargins, ergmgp, ergmito, fergm, fglsnet, genBaRcode, GGMncv, GGMnonreg, ggnetwork, GOxploreR, GUEST, haplotypes, InflectSSP, intergraph, interplex, ITNr, latentnet, Linkage, lolog, manynet, metanetwork, mlergm, motifr, MRPC, ndtv, netdiffuseR, netmap, netmediate, netplot, networkABC, NetworkChange, NetworkDistance, networkDynamic, networkDynamicData, NetworkExtinction, networkLite, PAFit, PDN, pkggraph, quanteda.textplots, RDS, RHMS, SBICgraph, sidier, sna, SparseTSCGM, statnet, statnetWeb, tergm, tergmLite, tip, tsna, VBLPCM, WOTPLY, WRSS, xergm.common, BFpack, easybgm, latentFactoR, EloSteepness, nemBM, IRCcheck, BioM2, ecostate, inferCSN, phyloseqGraphTest, econet, intensitynet, linkprediction, MEclustnet, migraph, etree, Neighboot, SimRDS, sspse, BANAM, bipartite, CEoptim, concorR, cssTools, ecoCopula, ftsspec, keyplayer, NetCluster, relevent, sfc, spaceNet, SSrat, bioregion, bootPLS, cassandRa, econetwork, econullnetr, NIMAA, nos, PhageCocktail, plsRglm, tapnet, DPBBM, ecopower, ecostats, plsRbeta, plsRcox, biospear, plasma	130	2024-12-08 01:40:11.687396
fluxfinder	2024-12-08	Stephanie Wilson		0	2024-12-08 01:40:11.687396
lubridate	2024-12-09	Vitalie Spinu	academictwitteR, accrualPlot, Achilles, ActiSleep, activAnalyzer, activatr, activPAL, actogrammr, actuaryr, adheRenceRX, AdhereR, adjustedcranlogs, admiral, admiraldev, admiralonco, admiralophtha, admiralvaccine, adobeanalyticsr, adsDataHubR, AdverseEvents, aelab, AeRobiology, agcounts, aire.zmvm, AirExposure, AirMonitor, alfred, almanac, altfuelr, amt, anipaths, aniSNA, antaresRead, antaresViz, anyflights, aoristic, AQEval, AquaBEHER, aquodom, archiveRetriever, archivist, arctools, ARPALData, ARUtools, ascotraceR, AtmChile, attrib, audrex, autohrf, AutoPlots, autoslider.core, autostsm, autoTS, aws.wrfsmn, AzureAppInsights, baker, bambooHR, banffIT, barrks, baseballr, batata, BatchGetSymbols, BAwiR, bayesforecast, bayesmove, baytrends, BeeBDC, BEKKs, BETS, bioRad, bitmexr, blackmarbler, bluebike, bndesr, boiwsa, bp, bReeze, brinton, BRVM, bsam, bskyr, bsplus, bulkreadr, bupaR, busdater, bysykkel, CalcThemAll.PRM, calendar, campfin, camtrapR, cancerscreening, capl, carbonr, ccmReportR, cder, CDSE, cgmanalysis, charlesschwabapi, chevron, chillR, cif, citmre, cjar, cleanepi, cleanTS, clifro, climwin, clintrialx, clockify, clr, CLVTools, CodelistGenerator, codez, CohortGenerator, CohortSurvival, combinedevents, comtradr, CooRTweet, corporaexplorer, countries, covatest, coveR2, covid19france, covid19sf, covid19tunisia, covid19us, CRANsearcher, crawl, cricketdata, cricketr, cropgrowdays, CropWaterBalance, cruts, crypto2, cryptowatchR, csalert, CSHShydRology, csodata, CSTools, cthist, ctrdata, ctrialsgov, cubble, cvasi, cyclomort, dafishr, dail, daqapo, datacleanr, datadictionary, datadogr, DataMetProcess, dataPreparation, dataquieR, dataRetrieval, DateTimeRangePicker, datetoiso, deflateBR, dendRoAnalyst, dendroTools, digiRhythm, disclosuR, diseasystore, dispositionEffect, distill, dmtools, doublIn, DQAgui, DSSAT, dycdtools, dymo, dynamicSDM, easyr, EBASE, ecocomDP, edeaR, eesim, EHR, EHRtemporalVariability, eia, EIAapi, eider, EloOptimized, envvar, epe4md, epiCo, EpiNow2, epiR, eplusr, epocakir, ErlangC, ern, esmprep, esmtools, etl, eurocordexr, euroleaguer, eurostat, evapoRe, EventPredInCure, evprof, evsim, exceldata, ExcelFunctionsR, excessmort, excluder, expDB, exuber, eye, ezplot, fable.ata, fable.prophet, fableCount, fabR, fakir, farr, fasstr, fastRhockey, feasts, FedData, ffp, fgeo.analyze, finnts, fitbitr, fitbitViz, fitzRoy, fixtuRes, fluxfinder, fluxible, fmpcloudr, foqat, forecasteR, forecastML, fpp3, framecleaner, fruclimadapt, galvanizer, garma, gbfs, gbm.auto, GenEst, geomerge, GetDFPData, GetDFPData2, GetFREData, GetLattesData, geysertimes, ggblanket, GGIR, ggpmisc, ggpp, ggspectra, ghclass, gie, GitStats, gk, globaltrends, Gmisc, Goodreader, govinfoR, gpx, gravitas, greenfeedr, grwat, GTFSwizard, gumboot, GVARX, gwasrapidd, GWSDAT, hablar, headliner, healthdb, healthfinance, healthyR, healthyR.ts, heatwaveR, HEDA, heims, hetu, hgnc, hgutils, highcharter, HMDHFDplus, hockeystick, hoopR, HospitalNetwork, hpiR, htmldf, htsr, humanize, hurricaneexposure, hydroroute, hydrotoolbox, hydroToolkit, HyMETT, HYPEtools, hystReet, IceSat2R, iClick, ie2misc, IETD, iglu, IGoRRR, ihpdr, imaginator, impactflu, impactr, incR, IndexConstruction, inegiR, injurytools, insurancerating, intensegRid, iNZightPlots, iNZightTS, iotables, ipeadatar, IPEDSuploadables, iperform, isdparser, ixplorer, janitor, janus, jenga, jmastats, jpcity, k5, khisr, kiwisR, kntnr, lactater, lambdaTS, lares, lazytrade, LDATS, LifeInsureR, lifelogr, LightLogR, linelistBayes, logib, longitudinalcascade, LTASR, lubrilog, lutz, m5, macleish, macrocol, madshapR, maestro, maicplus, malariaAtlas, margaret, maskRangeR, MassWateR, matman, matuR, MazamaCoreUtils, MazamaLocationUtils, MazamaTimeSeries, mctq, MDPIexploreR, mds, medrxivr, messydates, metajam, meteoland, meteospain, MeTo, metools, metR, metricminer, microinverterdata, midasml, MigrationDetectR, MIMSunit, mimsy, MixviR, mizer, mmaqshiny, modisfast, moexer, mort, movegroup, mpathr, mpathsenser, msdrought, msSPChelpR, multimorbidity, musica, myClim, naive, namedropR, naptime, nasapower, nbTransmission, NEONiso, neonPlantEcology, neonSoilFlux, neotoma2, newsanchor, nixmass, nixtlar, njtr1, noaastormevents, npphen, nser, ntdr, occCite, oceanmap, omock, OnboardClient, onc.api, OOS, openair, openairmaps, opendotaR, openeo, OpeNoise, opinAr, orgR, osmdata, packagefinder, padr, PAMmisc, PAMpal, PAMscapes, parsel, parttime, pastclim, patentr, pathviewr, pcts, pdfetch, pedquant, periscope, periscope2, phase, phenofit, PHENTHAUproc, photobiology, photobiologyInOut, phsmethods, PhysActBedRest, piggyback, pingers, piwikproR, pkdata, planningML, planr, plotdap, pmetar, pmev, PointFore, polished, pollen, polypharmacy, popstudy, PortalHacienda, portalr, PowerSDI, presenter, PriceIndices, priceR, primerTree, projects, prophet, ProPublicaR, proteus, proverbs, PublicWorksFinanceIT, puzzle, PvSTATEM, PytrendsLongitudinalR, qualtRics, QuantBondCurves, quantdates, quincunx, radiant.basics, radiant.data, radiant.model, radiant.multivariate, rAmCharts4, rameritrade, random.cdisc.data, Rapi, RAQSAPI, RavenR, rbi.helpers, RBNZ, RchivalTag, RClimacell, rcontroll, rcrimeanalysis, rdfp, RDML, readrba, rechaRge, recipes, redcapAPI, REDCapExporter, REDCapTidieR, REDI, RefManageR, refreshr, REN, repana, repoRter.nih, rerddap, respirometry, respR, ResultModelManager, rfars, rfieldclimate, RGoogleAnalyticsPremium, rgoogleclassroom, riem, Rigma, ripc, RivRetrieve, RJalaliDate, RKorAPClient, RMariaDB, RmarineHeatWaves, RMOPI, rmweather, rmytarget, rnrfa, Rnumerai, Rnvd3, RobinHood, Robyn, rollinglda, ropenmeteo, rplanes, RPostgres, RPresto, rprev, rqti, rsinaica, rsocialwatcher, RTL, rtrend, rtrends, rts2, RtsEva, rtypeform, rumidas, rwicc, Rwtss, rwunderground, rzentra, salesforcer, sampleVADIR, SanFranBeachWater, saotd, sapfluxnetr, saqgetr, SDLfilter, sdtmval, seasonalityPlot, seawaveQ, secuTrialR, segen, semnar, sense, SensusR, shiny.reglog, shiny.telemetry, shinyDatetimePickers, shinyInvoice, ShinyLink, shinyML, simET, simulariatools, siteymlgen, sits, smosr, socialmixr, SoilHyP, SoilManageR, solartime, sorvi, sotkanet, sovereign, SPARSEMODr, spatsurv, speech, speechbr, SPEI, spinner, spiralize, spocc, spooky, spotifyr, stacomiR, statgenHTP, stationaRy, statnipokladna, statsearchanalyticsr, stepcount, STICr, SticsRFiles, stocks, stopdetection, stppSim, strand, stRoke, stxplore, sugrrants, summarytools, suncalc, survivoR, susographql, swaRm, sweep, sweidnumbr, swfscAirDAS, swfscDAS, SWMPrExtension, SWTools, tableschema.r, tagtools, tapLock, tashu, tbrf, telemetR, telraamStats, tenm, tetragon, textpress, thinkr, ThomasJeffersonUniv, tibbletime, tidybins, tidycharts, tidycomm, tidyfinance, tidyhydat, tidyllm, tidyquant, tidyquery, tidyrgee, tidysdm, tidytuesdayR, tidyverse, time.slots, timelineS, timeperiodsR, timeplyr, timeR, timetk, tntpr, togglr, topdowntimeratio, tosca, track2KBA, trackdf, TrafficBDE, trainR, TreeDep, triact, tsgarch, tsibble, tsibbletalk, tsmarch, TSstudio, tsviz, TUFLOWR, tv, twc, twilio, TwitterAutomatedTrading, ukbnmr, UKgrid, unstruwwel, urlshorteneR, ustfd, utile.tools, vectorsurvR, VIC5, VicmapR, vosonSML, votesmart, vprr, vvauditor, vvconverter, walkboutr, warabandi, waterData, Wats, wbstats, weaana, wearables, weatherOz, wehoop, WhatsR, when, whippr, whitewater, wikkitidy, winfapReader, worldfootballR, wqtrends, WRTDStidal, wxgenR, xesreadR, xml2relational, xmlconvert, xray, yahoofinancer, YatesAlgo.FactorialExp.SR, ycevo, yfR, Z10, zipangu, zoltr, zoomGroupStats, ztype, DBItest, AdhereRViz, DCEtool, admiralpeds, psm3mkv, acro, sdtm.oak, antaresEditObject, antaresProcessing, archivist.github, modelDown, biodosetools, downloadthis, drawer, elaborator, LCMSQA, subscreen, visxhclust, bupaverse, heuristicsmineR, processanimateR, processcheckR, processmapR, processmonitR, processpredictR, psmineR, decisionSupport, CohortSymmetry, DrugUtilisation, PhenotypeR, momentuHMM, CSIndicators, EGRET, nhdplusTools, memoiR, rjtools, Dtableone, dtComb, EpiStats, gofcat, PSS.Health, RcmdrPlugin.EBM, RSurveillance, spectacles, epwshiftr, convergEU, mlstrOpalr, Rmonize, gratis, theft, fgeo, autostats, TidyConsultant, validata, dwp, eoa3, mMARCH.AC, postGGIR, CRMetrics, explainer, forestmangr, ggquickeda, neutralitytestr, qPCRtools, RQdeltaCT, shinyTempSignal, visa, crosshap, ggplot2.utils, ggrain, GseaVis, metrica, RevGadgets, soiltestcorr, flowchart, Greg, MultiATSM, healthyverse, AovBay, LDABiplots, LDAShiny, T2Qv, UnalR, demography, VirtualPop, vital, GetTDData, hdar, iNZightRegression, bayesrules, BFS, BrazilCrime, cepumd, ConsRankClass, covid19india, dacc, dams, datazoom.amazonia, DCPO, diffdfs, drpop, eatRep, ech, epiCleanr, epitweetr, extractox, f1dataR, fastrep, filebin, FlickrAPI, flightsbr, getLattes, healthyR.data, hlaR, HLMdiag, hudr, IMD, influential, irtQ, ispdata, itraxR, lacrmr, MAGMA.R, mnis, modeltime, moderndive, nfl4th, nflfastR, octopus, oddsapiR, otargen, otpr, protti, qualitycontrol, quid, redatam, REDCapDM, reservoirnet, rmdl, rSRD, SangerTools, scCustomize, tabbycat, TangledFeatures, theftdlc, ThermalSampleR, threesixtygiving, tidyDenovix, tidyREDCap, unmconf, zoomr, LifeInsuranceContracts, finbif, MazamaSpatialPlots, MazamaSpatialUtils, manydata, medfate, medfateland, aihuman, CIMTx, DImodelsVis, ForIT, gaussplotR, klovan, loewesadditivity, Markovchart, mosaicCalc, OVtool, paths, SOMbrero, stgam, survSens, TPMplt, voluModel, climatrends, OmopSketch, ReturnCurves, SOMEnv, SWMPr, worldmet, pRecipe, cartographr, cft, dodgr, populR, streetscape, fHMM, afthd, photobiologyFilters, photobiologyLamps, photobiologyLEDs, photobiologyPlants, photobiologySensors, photobiologySun, photobiologyWavebands, vachette, brickset, ecdata, gwid, metaboData, ready4, wru, rerddapXtracto, promotionImpact, radiant, radiant.design, shinyMolBio, actxps, bestNormalize, caret, correlationfunnel, CSCNet, cvms, D2MCS, easyalluvial, embed, extrasteps, fastml, healthyR.ai, HTRX, ldmppr, MachineShop, MLDataR, modeltime.ensemble, modeltime.resample, nestedmodels, scimo, shinyrecipes, sparseR, stabiliser, stacks, text, textrecipes, themis, tidymodels, tune, usemodels, viraldomain, viralmodels, viralx, rccola, ReviewR, knitcitations, FishResp, dabr, mdsr, moodleR, tcpl, galigor, DIZutils, FIESTAutils, holi, mfdb, mmiCATs, mmints, mmirestriktor, openappr, RGreenplum, snowquery, stacomirtools, surveydown, timeseriesdb, openSkies, dccmidas, PWEV, foreSIGHT, soilhypfit, bigleaf, REddyProc, ClimInd, sephora, rangeModelMetadata, wallace, packageRank, conmet, grapesAgri1, OlympicRshiny, StepReg, calendR, calendRio, GPSeqClus, INQC, sonicscrewdriver, swaRmverse, anomalize, CruzPlot, amanida, archetyper, ARGOS, cgmquantify, CondiS, CopSens, crops, crt2power, dbglm, div, dplyrAssist, drimmR, dumbbell, DYNATE, EntropicStatistics, EpiSemble, foodwebWrapper, footBayes, GB5mcPred, ggESDA, ggplotAssist, hdpGLM, hosm, icertool, ImFoR, ImVol, JAGStree, LipidomicsR, markowitz, mcmsupply, metaprotr, MF.beta4, mispitools, mosaicModel, mulea, nonet, oncoPredict, OpEnHiMR, OpenRepGrid.ic, optimos.prime, papci, PEIMAN2, phrases, polimetrics, PSIM, RanglaPunjab, ReSurv, Ricrt, ridigbio, rnaCrosslinkOO, RobinCar, rUM, ShapleyValue, StanMoMo, statVisual, studyStrap, surveyPrev, SurvHiDim, touRnamentofchampions, transPlotR, tswge, Tushare, UKB.COVID19, UniprotR, UpAndDownPlots, usfertilizer, VectorCodeR, WeatherSentiment, windows.pls, WinRatio, zerotradeflow, alphavantager, FFdownload, brolgar, ctsfeatures, fable, fabletools, netseer, oddnet, tidychangepoint, tidyindex, tsibbledata, UComp, USgrid, utile.tables, VOSONDash, rolap, play, quarks, LongDat, phytoclass, povmap, RESIDE, rsat, adabag, AdaSampling, aggTrees, aLFQ, ampir, AnalysisLin, AntAngioCOOL, assignPOP, autoBagging, AutoStepwiseGLM, BioM2, BLRShiny, BLRShiny2, bnviewer, bspcov, caretEnsemble, caretForecast, CAST, cdgd, CEEMDANML, classifierplots, ClinicalUtilityRecal, CMShiny, coca, combat.enigma, ConfusionTableR, ContaminatedMixt, CopulaCenR, Coxmos, criticality, CTShiny, CTShiny2, cytominer, daltoolbox, DamiaNN, datafsm, dbcsp, DebiasInfer, DeepLearningCausal, dfr, dissever, DMTL, driveR, DSAM, eclust, Ecume, EMgaussian, evalITR, fairness, FAST.R, FastJM, FeatureTerminatoR, FFTrees, flevr, FLORAL, flowml, fmf, fscaret, FuncNN, FunctanSNP, geomod, glmtrans, glmtree, GPCMlasso, HaploCatcher, hdcate, heimdall, hypervolume, icardaFIGSr, idiolect, iForecast, iimi, imanr, ImML, immunaut, imt, ipd, iSFun, JMH, JQL, KCSKNNShiny, KCSNBShiny, kfa, KMEANS.KNN, KNNShiny, l1spectral, LassoGEE, less, lilikoi, LncFinder, loadeR, LPRelevance, m2b, mand, MantaID, manymodelr, matrans, MBMethPred, mcca, MetabolomicsBasics, metaEnsembleR, meteo, mgwrsar, MiDA, mikropml, MiMIR, mlmts, mlquantify, MNLR, modelgrid, mpae, MRFcov, MRReg, MSclassifR, MSiP, mtlgmm, multiclassPairs, MUVR2, mxnorm, natstrat, NBShiny, NBShiny2, NBShiny3, nestedcv, NeuralSens, noisemodel, NonProbEst, npcs, OddsPlotty, omu, OncoSubtype, oncrawlR, outliers.ts.oga, panelWranglR, pathwayTMB, peptoolkit, pheble, pomodoro, PredPsych, predtoolsTS, promor, RadialVisGadgets, RandPro, RankPCA, RaSEn, RCTrep, refitME, RelimpPCR, RGCCA, RISCA, rmda, robustcov, roseRF, rQSAR, RStoolbox, rTLsDeep, Rtropical, SAiVE, scR, sentometrics, sgs, skedastic, SLEMI, smdi, sMTL, SoftBart, SpatialML, sregsurvey, ssr, stacking, stepPenal, survcompare, survivalSL, swag, tRigon, TSEAL, TSGS, varEst, VIMPS, waterquality, WaveletGBM, WaveletKNN, WaveletLSTM, WaveletML, waves, WMAP, cpop, oHMMed, RcmdrPlugin.RiskDemo, SEERaBomb, DQAstats, riverconn, DrugExposureDiagnostics, parcats, EGRETci, FIESTA, emdi, lmeresampler, saeTrafo, forensIT, npboottprm, npboottprmFBar, scdtb, nflverse, NFLSimulatoR, amadeus, gwavr, ENMeval, REddyProcNCDF, gatoRs, texor, geogenr, practicalSigni, PsychWordVec, agua, finetune, probably, shinymodels, tabnet, tidyclust, tidyposterior, workflowsets, rminer, traineR, dbnlearn, WaveletETS, CompareMultipleModels, WaveletMLbestFL, klic, flexCWM, daltoolboxdp, harbinger, tspredit, CausalGPS, TDLM, ENMTools, dsld, jmBIG, BAT, cati, Ostats, raptr, fastFMM, varTestnlme, discoveR, predictoR, regressoR, bootwar, ProgModule, tidyAML, divraster, red, mlmpower, gecko	1352	2024-12-08 01:40:11.687396
janitor	2024-12-09	Sam Firke	AdverseEvents, autostats, bambooHR, baseballr, bayesrules, BFS, bluebike, bndesr, BrazilCrime, cepumd, cleanepi, clockify, ConsRankClass, covid19india, cricketdata, crypto2, dacc, dail, dams, datazoom.amazonia, DCPO, diffdfs, drpop, eatRep, ech, epe4md, epiCleanr, epitweetr, etl, excluder, extractox, f1dataR, fabR, fastrep, fastRhockey, filebin, fitbitr, fitzRoy, FlickrAPI, flightsbr, framecleaner, getLattes, govinfoR, healthyR.data, hlaR, HLMdiag, HMDHFDplus, hoopR, hudr, IMD, influential, irtQ, ispdata, itraxR, khisr, lacrmr, madshapR, MAGMA.R, metricminer, mnis, modeltime, moderndive, nfl4th, nflfastR, octopus, oddsapiR, opinAr, otargen, otpr, presenter, protti, qualitycontrol, quid, redatam, REDCapDM, repoRter.nih, reservoirnet, rfars, rmdl, rSRD, SangerTools, scCustomize, speechbr, spotifyr, tabbycat, TangledFeatures, theftdlc, ThermalSampleR, threesixtygiving, tidybins, tidyDenovix, tidyREDCap, tntpr, unmconf, validata, vvauditor, wehoop, worldfootballR, zoomr, TidyConsultant, seasonalityPlot, macleish, banffIT, mlstrOpalr, Rmonize, healthyverse, emdi, lmeresampler, povmap, saeTrafo, demography, VirtualPop, vital, cancerscreening, finnts, healthyR.ai, healthyR.ts, modeltime.ensemble, modeltime.resample, nflverse, NFLSimulatoR, play, popstudy, RcmdrPlugin.RiskDemo, SEERaBomb, fastFMM, varTestnlme, mlmpower	128	2024-12-08 01:40:11.687396
